symbol,year,date,next_date,gap,abs_gap,gap_atr20,gap_up,day_abs_oc,day_range,rv5,rv20,median20_range,atr20,range20_ratio,same_dir_mfe,t1_distance,t2_distance,t1_hit,t2_hit,eligible_contracts,total_gamma_weight,near_gamma_share_0_5,front_near_gamma_share,weighted_abs_distance
SPY,2014,2014-11-20,2014-11-21,0.010020418037969714,0.010020418037969714,1.3357534677406357,1.0,0.006462387935560976,0.007490522271774235,0.0027476664559533026,0.004266923634646509,0.006663810547142509,0.007501697191861894,1.1240599081836482,0.0009631908535450151,0.0033319052735712546,0.0049978579103568815,0.0,0.0,305,397577.04642559483,0.29580070092179167,0.18421425201992744,0.013269263461758772
QQQ,2014,2014-11-21,2014-11-24,0.0026956654654184398,0.0026956654654184398,0.28843046846817183,1.0,0.006883962295806678,0.010995330013815923,0.005027939950060969,0.005099993325260269,0.008178131779175367,0.009345980262539098,1.344479437444896,0.005568908521912608,0.004089065889587683,0.0061335988343815245,1.0,0.0,197,110409.14820996666,0.1759397233841793,0.09616878881105252,0.014929737754983772
QQQ,2014,2014-11-26,2014-11-28,0.002653586216824433,0.002653586216824433,0.3064299370289142,1.0,0.00552691240867853,0.007146940942933235,0.002749785082228115,0.004213612345312337,0.007782045515305416,0.008659683327788058,0.9183884788230701,0.004253279161268608,0.003891022757652708,0.0058365341364790616,1.0,0.0,214,84549.66453973204,0.4695839409091284,0.2047256530606048,0.012295817004643706
IWM,2014,2014-11-28,2014-12-01,-0.0031708178836299394,0.0031708178836299394,0.27325167474681294,0.0,0.015108042410623246,0.016458447780150837,0.009679731479276253,0.007574758554490688,0.010647419204432709,0.011604019944499616,1.5457687411517427,0.013152183331942346,0.005323709602216354,0.00798556440332453,1.0,1.0,189,103067.97391940183,0.09503878971983283,0.02586969116584512,0.01949149860197205
QQQ,2014,2014-11-28,2014-12-01,-0.002735599563092883,0.002735599563092883,0.32394954693107875,0.0,0.001984868416023744,0.00491490196660979,0.0027513448832345144,0.00422996528835078,0.007409171043300758,0.008444523503763042,0.6633538270187131,0.012449751719536328,0.003704585521650379,0.0055568782824755684,1.0,1.0,178,59225.60706076416,0.2734952334668232,0.04796149156824329,0.015130148489733769
SPY,2014,2014-11-28,2014-12-01,-0.0038610186464319574,0.0038610186464319574,0.6236894805652835,0.0,0.0013976988637721677,0.0046266876941682515,0.0029862250237288985,0.0034499472808565807,0.005038248034770444,0.006190610498885611,0.9183128068007187,0.004966350128649877,0.002519124017385222,0.003778686026077833,1.0,1.0,324,231518.15647009428,0.1510742440233123,0.047442888300273024,0.016458158824843905
IWM,2014,2014-12-04,2014-12-05,0.003766821766994166,0.003766821766994166,0.31872152360941924,1.0,0.00324263908947775,0.009215818828868759,0.0131060632146694,0.008459290324209728,0.01198153961711743,0.011818535894081187,0.7691681639730654,0.006226041423740725,0.005990769808558715,0.008986154712838073,1.0,0.0,253,159132.10131072954,0.13424186935500063,0.06539980789852506,0.017488636735080193
IWM,2014,2014-12-05,2014-12-08,-0.003568746619314167,0.003568746619314167,0.29986051003872266,0.0,0.0037526860674306217,0.00869939678005064,0.011666146005112045,0.0085683579554707,0.01198153961711743,0.011901355796577931,0.7260666874248987,0.012257213531707611,0.005990769808558715,0.008986154712838073,1.0,1.0,213,132236.01301154474,0.10871421100388545,0.00838818643918955,0.019873626660347435
QQQ,2014,2014-12-05,2014-12-08,-0.0025621242181010917,0.0025621242181010917,0.31859963921430573,0.0,0.0015160475717395094,0.005211250877318918,0.005932092552481262,0.004434911338780924,0.007409171043300758,0.008041830255738869,0.7033514069068278,0.009896221763800561,0.003704585521650379,0.0055568782824755684,1.0,1.0,202,93388.11540029815,0.3137168137471791,0.09464095041345802,0.012102198724152273
IWM,2014,2014-12-08,2014-12-09,-0.010841525752849579,0.010841525752849579,0.8646519391421994,0.0,0.008953657818880467,0.021488908882048074,0.01053877702161813,0.009042534258616128,0.012380537244217697,0.012538601097229018,1.735700838999085,0.00191738909533834,0.0061902686221088484,0.009285402933163272,0.0,0.0,213,139056.566902383,0.16308965632637218,0.04366204193102545,0.017873890804267482
