date,next_date,spy_close,gap,abs_gap,gap_sign,gap_followthrough,gap_direction_success,mfe_from_open,mae_from_open,excursion_efficiency,gap_fill,gap_retention_close,day_abs_oc,day_range,rv5,monthly_opex_week,quarterly_opex_week,eligible_contracts,total_gamma_weight,near_gamma_share_0_5,front_near_gamma_share,weighted_abs_distance
2025-02-25,2025-02-26,594.239990234375,0.0028439729220171017,0.0028439729220171017,1.0,-0.002332513324587393,0.0,0.006124921482259182,0.006876638774289123,0.4710912660789564,1.0,0.0005048259926943022,0.004873204489178273,0.013948220531076664,0.007056107373924176,False,False,1244,58709.310666637975,0.19640902421564319,0.1486744043383498,0.016549566687788727
2025-02-26,2025-02-27,594.5399780273438,0.003885352783606244,0.003885352783606244,1.0,-0.01977044194629396,0.0,0.0019603652394621918,0.020867101107370667,0.0858774780204277,1.0,-0.01596190430433686,0.002332513324587393,0.012991437575980678,0.006560066052032613,False,False,1418,61302.36969021956,0.19036518345681344,0.1400417511515462,0.016795576445335688
2025-02-28,2025-03-03,594.1799926757812,0.0033659834135333355,0.0033659834135333355,1.0,-0.02081581619140338,0.0,0.0019457784460041871,0.028073749916062152,0.06481708914730774,1.0,-0.017519898469909534,0.014720942607294285,0.02098960519261519,0.011472024159699922,False,False,1292,46039.492522847984,0.14616807571066426,0.0893165817061761,0.01856534436808007
2025-03-03,2025-03-04,583.77001953125,-0.006954789425215435,0.006954789425215435,-1.0,0.004916314214123085,1.0,0.013036298772662658,0.009797989443848465,0.5709089177229667,1.0,0.011836911709231068,0.02081581619140338,0.029351379474876593,0.013512882665671206,False,False,1216,51779.91775628629,0.14115695428282463,0.082643820537266,0.018848251049802915
2025-03-05,2025-03-06,583.0599975585938,-0.013000406684703147,0.013000406684703147,-1.0,0.00481330122698187,1.0,0.00940150388947636,0.008149723014840626,0.5356607797694143,0.0,0.017751133038238276,0.011045787321126266,0.020455549167233963,0.01572381536007595,False,False,1528,56861.75434669829,0.11201858790124719,0.058986211139210015,0.01945298745669752
2025-03-06,2025-03-07,572.7100219726562,-0.0031604083901995983,0.0031604083901995983,-1.0,-0.008793060573514477,0.0,0.009317079160858555,0.011367997822448794,0.45042516246748054,1.0,-0.005604862520902865,0.00481330122698187,0.017236627165386684,0.016086175846668237,False,False,1410,52709.67411213808,0.25686902221893093,0.10745061554923116,0.018110315309722253
2025-03-07,2025-03-10,575.9199829101562,-0.014463738543322946,0.014463738543322946,-1.0,0.012350480864615432,1.0,0.0215986598390141,0.0034354923089081613,0.8627677786486053,0.0,0.02663558528182819,0.008793060573514477,0.020533968875066196,0.013415629056057874,False,False,1364,49732.998503587456,0.14413663073917587,0.0621730787628387,0.018405663339251793
2025-03-11,2025-03-12,555.9199829101562,0.011242625183721877,0.011242625183721877,1.0,-0.005870088929127548,0.0,0.0016720964654501902,0.015315393869058225,0.0984310473486181,1.0,0.005306541044969082,0.006221024941054254,0.021406399861158033,0.01562348487136575,False,False,1083,49146.85238491054,0.10201640740934542,0.04318229866836997,0.021698750260881434
2025-03-13,2025-03-14,551.4199829101562,0.008505318245186633,0.008505318245186633,1.0,0.012047998387936909,1.0,0.01388220305629062,0.008377296413347501,0.6236529745525453,0.0,0.020655788693630495,0.01265914778750421,0.016873320733212575,0.013569888037706073,False,False,1313,52462.05536918872,0.15607045332413172,0.07175720652915332,0.020285972091731545
2025-03-17,2025-03-18,567.1500244140625,-0.004143589032763684,0.004143589032763684,-1.0,0.006692578511712566,1.0,0.010267216863022677,0.00038957461585842346,0.9634435358306057,0.0,0.010808436249554187,0.007747199767133894,0.013077319910175371,0.01352910079605861,True,True,1290,60404.35586254299,0.1453749941509859,0.1204371220752889,0.01702734452555077
