sample,date,symbol,year,target,near_gamma_share_0_5,vol_residual
POOLED,2020-02-14,IWM,2020,next_rth_range,0.10018678758939151,-0.10971721609308815
POOLED,2020-02-14,QQQ,2020,next_rth_range,0.19420020698022356,-0.1496531719084171
POOLED,2020-02-14,SPY,2020,next_rth_range,0.2866538149554667,-0.04306782121043895
POOLED,2020-02-18,IWM,2020,next_rth_range,0.1989402809369418,-0.2805811978257422
POOLED,2020-02-18,QQQ,2020,next_rth_range,0.20905551678944034,-0.40879873999977523
POOLED,2020-02-18,SPY,2020,next_rth_range,0.21878945206422076,-0.6138355283933672
POOLED,2020-02-19,IWM,2020,next_rth_range,0.2122788681927485,0.23616934520504618
POOLED,2020-02-19,QQQ,2020,next_rth_range,0.18405230368158795,0.7679886517220602
POOLED,2020-02-19,SPY,2020,next_rth_range,0.3549605946690307,0.6819167104493129
POOLED,2020-02-20,IWM,2020,next_rth_range,0.2560891656200701,0.00147535752694683
POOLED,2020-02-20,QQQ,2020,next_rth_range,0.24062798253141826,0.18832451746467305
POOLED,2020-02-20,SPY,2020,next_rth_range,0.25516142849612067,-0.1825951052136876
POOLED,2020-02-21,IWM,2020,next_rth_range,0.11039538382957395,0.9976682992607624
POOLED,2020-02-21,QQQ,2020,next_rth_range,0.14506483561539824,0.07791033119910296
POOLED,2020-02-21,SPY,2020,next_rth_range,0.2817562757218026,1.3568472436595518
POOLED,2020-02-24,IWM,2020,next_rth_range,0.06412925870061321,0.4958321402832251
POOLED,2020-02-24,QQQ,2020,next_rth_range,0.0778397279309797,0.8048232510064701
POOLED,2020-02-24,SPY,2020,next_rth_range,0.1195554715901254,0.5927532197027263
POOLED,2020-02-25,IWM,2020,next_rth_range,0.12107980904722697,0.03745851925055188
POOLED,2020-02-25,QQQ,2020,next_rth_range,0.11830175141672365,-0.027921474080482067
POOLED,2020-02-25,SPY,2020,next_rth_range,0.07856862410941794,0.07936940277722826
POOLED,2020-02-26,IWM,2020,next_rth_range,0.18684834198434752,0.6363950730888925
POOLED,2020-02-26,QQQ,2020,next_rth_range,0.06549580627414102,0.8643933491744038
POOLED,2020-02-26,SPY,2020,next_rth_range,0.16892329614843798,0.9697440239387416
POOLED,2020-02-27,IWM,2020,next_rth_range,0.051375751117941376,0.28578196725509875
POOLED,2020-02-27,QQQ,2020,next_rth_range,0.11393749405383868,0.3864312930759022
POOLED,2020-02-27,SPY,2020,next_rth_range,0.04729441766627764,0.5284563168041063
POOLED,2020-02-28,IWM,2020,next_rth_range,0.04549868123338903,0.4231369081678169
POOLED,2020-02-28,QQQ,2020,next_rth_range,0.10532762725586471,0.5532289344814907
POOLED,2020-02-28,SPY,2020,next_rth_range,0.09727097191494971,0.6753864376436587
POOLED,2020-03-02,IWM,2020,next_rth_range,0.043190522739754766,0.5774221051351747
POOLED,2020-03-02,QQQ,2020,next_rth_range,0.06241476993569212,0.5002826661167381
POOLED,2020-03-02,SPY,2020,next_rth_range,0.14328837053492802,0.5859546175486807
POOLED,2020-03-03,IWM,2020,next_rth_range,0.052928019070633846,-0.2741419958170481
POOLED,2020-03-03,QQQ,2020,next_rth_range,0.1865368253771095,-0.09134245851696621
POOLED,2020-03-03,SPY,2020,next_rth_range,0.16249298370829762,0.016902344450891782
POOLED,2020-03-04,IWM,2020,next_rth_range,0.048233717492135945,0.6291382673944383
POOLED,2020-03-04,QQQ,2020,next_rth_range,0.12103241502327038,0.04806907283844941
POOLED,2020-03-04,SPY,2020,next_rth_range,0.08958278242890132,0.09362971395454744
POOLED,2020-03-05,IWM,2020,next_rth_range,0.09349928510880057,0.030140138714883413
POOLED,2020-03-05,QQQ,2020,next_rth_range,0.07870829779015255,0.10296240934301659
POOLED,2020-03-05,SPY,2020,next_rth_range,0.10813723074773499,0.1944459862948591
POOLED,2020-03-06,IWM,2020,next_rth_range,0.29362021764684937,0.44765487413824445
POOLED,2020-03-06,QQQ,2020,next_rth_range,0.08000690132909087,0.5417090050680646
POOLED,2020-03-06,SPY,2020,next_rth_range,0.06418135847002707,0.5120404842671111
POOLED,2020-03-09,IWM,2020,next_rth_range,0.3516359232882791,0.41711800185404435
POOLED,2020-03-09,QQQ,2020,next_rth_range,0.04238838624544709,0.30891648372824454
POOLED,2020-03-09,SPY,2020,next_rth_range,0.12488265533552985,0.6045798509910121
POOLED,2020-03-10,IWM,2020,next_rth_range,0.1613464255727564,0.46574756673117923
POOLED,2020-03-10,QQQ,2020,next_rth_range,0.1144931019366366,0.057527463087412745
POOLED,2020-03-10,SPY,2020,next_rth_range,0.07118036973126642,0.16181584026035312
POOLED,2020-03-11,IWM,2020,next_rth_range,0.011954354979534853,0.5813400518146286
POOLED,2020-03-11,QQQ,2020,next_rth_range,0.11351677002193114,0.8462180170102616
POOLED,2020-03-11,SPY,2020,next_rth_range,0.14323772585140337,0.9514081455706109
POOLED,2020-03-12,IWM,2020,next_rth_range,0.05784312428697823,0.6525121742927888
POOLED,2020-03-12,QQQ,2020,next_rth_range,0.0824540678543699,0.6115613459757547
POOLED,2020-03-12,SPY,2020,next_rth_range,0.06044153499704365,0.7554438067565439
POOLED,2020-03-13,IWM,2020,next_rth_range,0.291955443811741,0.4726872747810704
POOLED,2020-03-13,QQQ,2020,next_rth_range,0.07523417490386004,0.5145265693835013
POOLED,2020-03-13,SPY,2020,next_rth_range,0.14713190160796816,0.5310305225654433
POOLED,2020-03-16,IWM,2020,next_rth_range,0.01143103751340762,0.47883940401809655
POOLED,2020-03-16,QQQ,2020,next_rth_range,0.22948546031348255,0.39519398602812306
POOLED,2020-03-16,SPY,2020,next_rth_range,0.1389993116546822,0.43416856665261294
POOLED,2020-03-17,IWM,2020,next_rth_range,0.06267471067029225,0.5042397082676566
POOLED,2020-03-17,QQQ,2020,next_rth_range,0.10394561429465521,0.2756354911718799
POOLED,2020-03-17,SPY,2020,next_rth_range,0.09125982806273199,0.5813620839666491
POOLED,2020-03-18,IWM,2020,next_rth_range,0.423639228739399,0.5233799570921915
POOLED,2020-03-18,QQQ,2020,next_rth_range,0.07556535981935229,0.2635039965377599
POOLED,2020-03-18,SPY,2020,next_rth_range,0.16677062081701724,0.1826194162020438
POOLED,2020-03-19,IWM,2020,next_rth_range,0.11621104613964905,0.12325190798930885
POOLED,2020-03-19,QQQ,2020,next_rth_range,0.10194168275433804,0.31980153110013276
POOLED,2020-03-19,SPY,2020,next_rth_range,0.14758105796946805,0.3582335838623085
POOLED,2020-03-20,IWM,2020,next_rth_range,0.0406751954809241,0.07870826277174592
POOLED,2020-03-20,QQQ,2020,next_rth_range,0.2727416086223027,0.10237679810598133
POOLED,2020-03-20,SPY,2020,next_rth_range,0.02279789137414317,0.1543652046582542
POOLED,2020-03-23,IWM,2020,next_rth_range,0.3044730021090301,0.589635586652776
POOLED,2020-03-23,QQQ,2020,next_rth_range,0.25805718793543597,-0.32635748456238334
POOLED,2020-03-23,SPY,2020,next_rth_range,0.06007039076112942,0.17273967539338164
POOLED,2020-03-24,IWM,2020,next_rth_range,0.03475676552813978,0.19086781857258783
POOLED,2020-03-24,QQQ,2020,next_rth_range,0.034822172898693,0.43587564546680424
POOLED,2020-03-24,SPY,2020,next_rth_range,0.06416646528055009,0.6408404219936519
POOLED,2020-03-25,IWM,2020,next_rth_range,0.29249018304311947,0.02856608276971251
POOLED,2020-03-25,QQQ,2020,next_rth_range,0.07033670195929434,0.14213770532034609
POOLED,2020-03-25,SPY,2020,next_rth_range,0.07283034476955319,0.16677410896594935
POOLED,2020-03-26,IWM,2020,next_rth_range,0.03830439743767233,-0.015489853326343006
POOLED,2020-03-26,QQQ,2020,next_rth_range,0.08451176581114826,-0.2665167347416575
POOLED,2020-03-26,SPY,2020,next_rth_range,0.16813536898898043,-0.038398576430950015
