symbol,year,date,next_date,day_abs_oc,day_range,rv5,median20_range,next_rth_range,next_max_excursion,next_abs_oc,next_range_vs_20d,monthly_opex_week,eligible_contracts,total_gamma_weight,near_gamma_share_0_5,front_near_gamma_share,weighted_abs_distance
QQQ,2023,2023-09-06,2023-09-07,0.0067324230098074755,0.013067198610401877,0.005486494801238669,0.01343423942602135,0.009994360747770945,0.007131127493510192,0.004997180373885524,0.7439468979845961,False,924,65749.23032185319,0.23099058500533917,0.08657216593463439,0.01567320297514921
SPY,2023,2023-09-06,2023-09-07,0.004861714329738587,0.010481740122673316,0.004414283267189115,0.010064614662426058,0.00631894537593696,0.0055065390581761076,0.003926837149861528,0.6278377849404707,False,1038,122609.74750955275,0.3078834868193538,0.17908570839771595,0.012895897542611992
IWM,2023,2023-09-07,2023-09-08,0.004375054344085916,0.009668405265328948,0.012007714707354815,0.01357857144698377,0.007477269728367756,0.006050698439993507,0.003467703717568882,0.5506668914003242,False,349,104912.39301752692,0.2995478359923106,0.039131830646076164,0.01530258487683797
QQQ,2023,2023-09-07,2023-09-08,0.004997180373885524,0.009994360747770945,0.0051949373949016124,0.013148489917476691,0.008736324063020712,0.00763419333710913,0.0015321544896056416,0.6644355449068396,False,889,70804.41840051209,0.13580499127252005,0.07837278422549711,0.015086741113055933
SPY,2023,2023-09-07,2023-09-08,0.003926837149861528,0.00631894537593696,0.0032136048093031337,0.010064614662426058,0.005799025865722791,0.0049673892681425524,0.00139356063316054,0.5761796213989325,False,998,125647.13200945206,0.3246084978989288,0.1905264609782298,0.012022487893217911
IWM,2023,2023-09-08,2023-09-11,0.003467703717568882,0.007477269728367756,0.011978512928686586,0.012368489081083022,0.008204708612386634,0.005754601390637326,0.0048580045512802705,0.6633557711535939,False,309,106620.57127050101,0.08233784542508903,0.07313083579504989,0.015909192775311522
QQQ,2023,2023-09-08,2023-09-11,0.0015321544896056416,0.008736324063020712,0.004801982217432017,0.012777027375934011,0.01019535360413439,0.0053524594026621575,0.003487189335631413,0.7979440995280095,False,831,66969.37627501608,0.1533205482525801,0.1255535418152245,0.015144867134663375
SPY,2023,2023-09-08,2023-09-11,0.00139356063316054,0.005799025865722791,0.0037403263749119465,0.009264901568789757,0.005131152603689234,0.003964407482770493,0.00046854804843809994,0.5538269959579829,False,957,105963.57546599969,0.2545251583472558,0.2046341462429366,0.013283476461607843
IWM,2023,2023-09-11,2023-09-12,0.0048580045512802705,0.008204708612386634,0.009033728980877813,0.012368489081083022,0.008693712796647443,0.007063698648025252,0.0007607009060839331,0.7028920622118701,True,312,112418.93687957687,0.35818173095465006,0.3295787645161319,0.013773923498696479
QQQ,2023,2023-09-11,2023-09-12,0.003487189335631413,0.01019535360413439,0.008226069088389666,0.012777027375934011,0.011858161689740467,0.007436212117239993,0.006608523306828151,0.9280845489989118,True,890,65693.70589192641,0.11189581452567494,0.09570063809854566,0.015498472018543928
SPY,2023,2023-09-11,2023-09-12,0.00046854804843809994,0.005131152603689234,0.005280632633327035,0.009264901568789757,0.00702535864213134,0.003535040897445496,0.00214794036567012,0.7582766627329683,True,939,113481.39759442012,0.30729195895764716,0.2552185923878765,0.011677984004548597
