date,next_date,qqq_open,qqq_close,day_oc,day_abs_oc,day_range,rv5,meaningful_move,next_close,next_cc,next_abs_cc,next_gap,next_oc,next_range,continuation_return,continued,pin_improvement,monthly_opex_week,quarterly_opex_week,eligible_contracts,total_gamma_weight,near_gamma_share_0_5,near_gamma_share_1_0,front_gamma_share,front_near_gamma_share,dominant_strike,dominant_strike_share,dominant_strike_distance,weighted_abs_distance,strike_hhi,effective_strikes
2026-02-26,2026-02-27,615.5900268554688,609.239990234375,-0.010315366305608809,0.010315366305608809,0.018826695408655357,0.013015102326014445,True,607.2899780273438,-0.0032007291679606586,0.0032007291679606586,-0.010275113035860928,0.00714782861487917,0.010061724412500046,0.0032007291679606586,1.0,-0.00320072916796069,False,False,911,33171.24438571878,0.2903348463845459,0.4850052863449222,0.5314456816558698,0.23195284272759736,610.0,0.19190733069591848,0.001247471895816643,0.014223475401376149,0.06794823275132872,14.717086221502136
2026-02-27,2026-03-02,602.97998046875,607.2899780273438,0.00714782861487917,0.00714782861487917,0.010061724412500046,0.01253014668633917,True,608.0900268554688,0.001317408251530594,0.001317408251530594,-0.013881330140115833,0.015412686988073965,0.019644639476075944,0.001317408251530594,1.0,-0.001317408251530502,False,False,779,21951.520578951706,0.21778957552164305,0.29131324118243385,0.46838305089972243,0.12777588674595916,600.0,0.12343315071620597,0.01200411383540978,0.01816223825137297,0.048764297802035166,20.506806107608202
2026-03-02,2026-03-03,598.8599853515625,608.0900268554688,0.015412686988073965,0.015412686988073965,0.019644639476075944,0.010694501194087817,True,601.5800170898438,-0.010705667710567912,0.010705667710567912,-0.019339257751747496,0.008803849964857724,0.01988196865847023,-0.010705667710567912,0.0,0.010705667710567968,False,False,1252,25101.837279863947,0.19037535709982317,0.2964830214855257,0.4517578012121654,0.12060125666646533,600.0,0.1330401645927881,0.013303995293762028,0.017848153035929546,0.050206296474430326,19.917820477144577
2026-03-03,2026-03-04,596.3300170898438,601.5800170898438,0.008803849964857724,0.008803849964857724,0.01988196865847023,0.010741895938472218,True,610.75,0.015243164084000504,0.015243164084000504,0.004288633234807326,0.010907751503577812,0.01570865377601119,0.015243164084000504,1.0,-0.015243164084000393,False,False,1174,26928.839409890687,0.22729416280828085,0.35094396427837493,0.4470922727578387,0.13339632538196838,600.0,0.14165776865627994,0.0026264454352841193,0.017320337665910266,0.053927905352182066,18.54327538719316
2026-03-04,2026-03-05,604.1599731445312,610.75,0.010907751503577812,0.010907751503577812,0.01570865377601119,0.011031649065865077,True,608.9099731445312,-0.00301273328770979,0.00301273328770979,-0.005485019379349199,0.00248592141879711,0.017191977077363897,-0.00301273328770979,0.0,0.003012733287709783,False,False,1115,26937.561817548078,0.15934893838244288,0.3331232068189768,0.42198933187036947,0.0937309220278261,600.0,0.12133483262073187,0.017601309864920145,0.01799049525253096,0.04795027528482666,20.85493762152475
2026-03-05,2026-03-06,607.4000244140625,608.9099731445312,0.00248592141879711,0.00248592141879711,0.017191977077363897,0.00959161682470657,False,599.75,-0.01504323060636914,0.01504323060636914,-0.014123558432662109,-0.0009328472970152601,0.012596251085438697,,,0.014222091157103963,False,False,1015,30007.275744965176,0.19802034271346697,0.34732686517632366,0.42895013273781885,0.12620563261613774,600.0,0.12912429231973901,0.014632660881736537,0.01649636524172629,0.05044877820758272,19.82208559908582
2026-03-06,2026-03-09,600.3099975585938,599.75,-0.0009328472970152601,0.0009328472970152601,0.012596251085438697,0.011771821401164317,False,607.760009765625,0.013355581101500702,0.013355581101500702,-0.009203867496873741,0.02276901156384281,0.029912467597175908,,,-0.012521900401208836,False,False,847,21046.853485560645,0.17855828406886787,0.355079108804905,0.4187688067222537,0.07191543654937507,600.0,0.1338898912325159,0.00041684035014588616,0.01885820424375138,0.054505039100886075,18.34692748589815
2026-03-09,2026-03-10,594.22998046875,607.760009765625,0.02276901156384281,0.02276901156384281,0.029912467597175908,0.013790458309296589,True,607.77001953125,1.6469931328311205e-05,1.6469931328311205e-05,3.2939862656844454e-05,-1.6469388829043474e-05,0.01294918222773898,1.6469931328311205e-05,1.0,-1.6469931328420492e-05,False,False,1240,23805.82181115994,0.19664646248529574,0.2940153016468819,0.36043047272371476,0.09062841025895763,600.0,0.12369984595984754,0.012768213835947395,0.018477163153295287,0.04778203072043622,20.92836961766682
2026-03-10,2026-03-11,607.780029296875,607.77001953125,-1.6469388829043474e-05,1.6469388829043474e-05,0.01294918222773898,0.012488010858133164,False,607.6900024414062,-0.00013165685583749198,0.00013165685583749198,0.0019415118183869762,-0.0020691513923422056,0.012175597908915549,,,0.00013165685583745035,False,False,1129,24392.390511852915,0.2065547710660444,0.29259559700498955,0.3827964577801761,0.09812961129358626,600.0,0.12655220867253528,0.01278447320788001,0.01812697617080582,0.0481113146920799,20.785131447771896
2026-03-11,2026-03-12,608.9500122070312,607.6900024414062,-0.0020691513923422056,0.0020691513923422056,0.012175597908915549,0.010113438558971169,False,597.260009765625,-0.017163344195031294,0.017163344195031294,-0.00811267695037754,-0.00912469293067164,0.011667177059001187,,,0.008145620607784364,False,False,1111,27536.739338901974,0.23424264362370087,0.33098773193777287,0.3832966770630253,0.12113941770230628,600.0,0.13178106462180028,0.012654482401407874,0.016800019039197384,0.04953214172881406,20.18891097976237
2026-03-12,2026-03-13,602.760009765625,597.260009765625,-0.00912469293067164,0.00912469293067164,0.011667177059001187,0.012523229624213,True,593.719970703125,-0.005927132244948341,0.005927132244948341,0.004135503236009752,-0.010021192805681589,0.018467615580100696,0.005927132244948341,1.0,-0.005927132244948345,False,False,931,27247.40373998611,0.3321424597839744,0.40936291938526015,0.38384367376290107,0.1833199201162978,600.0,0.18326952208190633,0.004587600357589983,0.016261803959417495,0.06473017572790966,15.448745330206647
2026-03-13,2026-03-16,599.72998046875,593.719970703125,-0.010021192805681589,0.010021192805681589,0.018467615580100696,0.011053230385658568,True,600.3800048828125,0.011217467001826131,0.011217467001826131,0.01064476122764435,0.0005666736682889972,0.00800040462572737,-0.011217467001826131,0.0,0.009937385813509482,False,False,886,22041.59617006544,0.09597115419623789,0.2638176198527797,0.8401543134964731,0.08009890987300503,600.0,0.1516852663995863,0.0105774264076679,0.01912564271740856,0.0591761505927227,16.898699729261825
2026-03-16,2026-03-17,600.0399780273438,600.3800048828125,0.0005666736682889972,0.0005666736682889972,0.00800040462572737,0.010329775904196248,False,603.3099975585938,0.0048802302740798,0.0048802302740798,0.004597104738962354,0.00028182993339509466,0.0067124642128307006,,,-0.00488023027407975,True,True,1280,27469.64838205418,0.290086007774445,0.46873576640277687,0.8241802101605408,0.25722383574802876,600.0,0.18572868910581228,0.0006329406038209084,0.014155302188111334,0.06721990222100103,14.876546483395169
