symbol,year,date,next_date,day_abs_oc,day_range,rv5,rv20,median20_range,atr20,range20_ratio,next_rth_range,next_max_excursion,next_abs_oc,monthly_opex_week,eligible_contracts,total_gamma_weight,near_gamma_share_0_5,front_near_gamma_share,weighted_abs_distance
SPY,2020,2020-10-30,2020-11-02,0.005300323628747217,0.02159740576414843,0.016568824770016984,0.013230176046331029,0.012864203297935507,0.016892002270809437,1.678876278923115,0.015505738727766392,0.009045416394665606,0.0,False,809,31274.616946235627,0.15199232933489157,0.055223369256682,0.02245928190006538
IWM,2020,2020-11-02,2020-11-03,0.006784280046341351,0.014343872581375523,0.019701316598990066,0.013791547106018787,0.013819773097720298,0.019604387056166867,1.0379238848531949,0.020008826077727273,0.01767344051759112,0.011424685356685726,False,218,20169.19933742442,0.02688531204766397,0.006972246800109223,0.024894724538358632
QQQ,2020,2020-11-02,2020-11-03,0.006878775336409015,0.02409412413430159,0.02378910952985167,0.016146336019792006,0.017824174770463323,0.021929942394422496,1.3517666003942175,0.021988568812394204,0.01787033395293869,0.009891169752630935,False,244,14420.678449236091,0.12406546946936114,0.050296024518659305,0.024181310306811338
SPY,2020,2020-11-02,2020-11-03,0.0,0.015505738727766392,0.018542726982382022,0.012817394158554853,0.013519931214265361,0.01686655453873164,1.146880001238892,0.023854449929095033,0.013665370629119877,0.0070124856027160565,False,904,36021.60068223315,0.09572883154229503,0.034767300874788916,0.02560578039883618
IWM,2020,2020-11-03,2020-11-04,0.011424685356685726,0.020008826077727273,0.024226311512605514,0.015184600364083265,0.013819773097720298,0.01985376298346734,1.4478404193935657,0.029413625290956813,0.029160102082507855,0.016925503448147694,False,218,17119.41953274901,0.22511256565695795,0.04666234758474104,0.02258967723873757
QQQ,2020,2020-11-03,2020-11-04,0.009891169752630935,0.021988568812394204,0.025611017002648843,0.01621163814406383,0.017824174770463323,0.021958123790452908,1.2336374107390236,0.024330879035180067,0.018265780678700105,0.01170706783416664,False,262,15981.140782402137,0.1491963700370946,0.05475635931948866,0.02109287675037314
SPY,2020,2020-11-03,2020-11-04,0.0070124856027160565,0.023854449929095033,0.021279782231273785,0.013111188141437077,0.013519931214265361,0.016939112170814112,1.7643913679032148,0.024496879840276473,0.020771042052769584,0.007862533909913871,False,912,45508.0943337926,0.08313761804605861,0.04297777371190398,0.02497408913736446
IWM,2020,2020-11-04,2020-11-05,0.016925503448147694,0.029413625290956813,0.01594495269204317,0.014392533109671563,0.014930920832408108,0.020043768703642145,1.9699806610127801,0.022652912125063117,0.022035722765660015,0.017900186739103097,False,282,27293.06868373236,0.1789318005497273,0.06720104303054879,0.02342053022750361
QQQ,2020,2020-11-04,2020-11-05,0.01170706783416664,0.024330879035180067,0.02555469083511729,0.018705077713778488,0.019360846005026487,0.02351471422449966,1.256705364469262,0.01154912500437963,0.006336714737423366,0.0029299079232689706,False,333,16176.733688407236,0.0746298816957739,0.03389912889935565,0.024215894361056315
SPY,2020,2020-11-04,2020-11-05,0.007862533909913871,0.024496879840276473,0.012545895882360875,0.013492692534245466,0.01392220619083855,0.01771106507878074,1.7595544488054302,0.009535039465580602,0.008446948486774186,0.002863360519878899,False,939,54110.67906739735,0.2169641469297883,0.112475844649536,0.019983713386375314
IWM,2020,2020-11-05,2020-11-06,0.017900186739103097,0.022652912125063117,0.018101673150368945,0.015506863135307301,0.01686885915305461,0.020952221343672327,1.3428834706324009,0.01455140522377224,0.014206932162116104,0.012075836607680523,False,254,24902.58589128423,0.2328327633694081,0.015304658704763484,0.020056172781403023
QQQ,2020,2020-11-05,2020-11-06,0.0029299079232689706,0.01154912500437963,0.02635369960798704,0.01949287727712177,0.019360846005026487,0.02453704638324109,0.5965196459587165,0.01882809213231232,0.013387175456550215,0.00306422635479886,False,353,17016.271260040085,0.15457917199114585,0.07029109511245188,0.02307179235841019
SPY,2020,2020-11-05,2020-11-06,0.002863360519878899,0.009535039465580602,0.013218097044972496,0.014038775919364019,0.01392220619083855,0.01851661734603963,0.684879920242461,0.01103082316444085,0.006558316753417781,0.0006573057215510936,False,939,61577.83807575521,0.2079406118466854,0.10277317146467001,0.016563223059388822
IWM,2020,2020-11-06,2020-11-09,0.012075836607680523,0.01455140522377224,0.01625989946988853,0.015596659082829112,0.01686885915305461,0.02109599423273025,0.8626194037038524,0.04956204817017409,0.045000856521516974,0.041819689313975394,False,216,25585.412315210215,0.10386092038585346,0.03241622004261756,0.01994917536166326
QQQ,2020,2020-11-06,2020-11-09,0.00306422635479886,0.01882809213231232,0.018176181485414385,0.01925838746141395,0.01972384158340456,0.024698051600799527,0.9545854468915469,0.037023415949010575,0.03307649222824938,0.030438426824710763,False,288,14244.307623272154,0.14431545024715248,0.026029475453385978,0.0249016769694797
SPY,2020,2020-11-06,2020-11-09,0.0006573057215510936,0.01103082316444085,0.008993715741607351,0.013916194791508886,0.01392220619083855,0.018548441854985005,0.7923186176986545,0.02835400524660529,0.02798961681761125,0.025853789132482263,False,871,50804.74816309774,0.1917902732359164,0.05491922728503985,0.017959028601068083
IWM,2020,2020-11-09,2020-11-10,0.041819689313975394,0.04956204817017409,0.019289171116874795,0.017506962756447936,0.018507931864666465,0.025016889750328064,2.6778814906268975,0.020911226021440917,0.012441617527928273,0.008761682399173631,False,193,17068.37098921495,0.2070698261291222,0.02540451467318352,0.021703641325238065
QQQ,2020,2020-11-09,2020-11-10,0.030438426824710763,0.037023415949010575,0.024779351120436752,0.018574566187339953,0.01972384158340456,0.024512043272254945,1.8770895006661228,0.02118037753100744,0.016214162888310124,0.006136690106245957,False,275,21348.043274402044,0.1571189486530692,0.06642983040338205,0.022915103931057203
SPY,2020,2020-11-09,2020-11-10,0.025853789132482263,0.02835400524660529,0.00890475792302246,0.013730508669459525,0.01394172603289101,0.019545356826179847,2.0337514293218177,0.01321107538875402,0.008501841276209454,0.0015559657295591833,False,915,44748.03715828417,0.15904155983605497,0.05456065740871271,0.020450650371385798
IWM,2020,2020-11-10,2020-11-11,0.008761682399173631,0.020911226021440917,0.01834360664070847,0.01776723594040804,0.01940247029219584,0.025426434253963542,1.077761012207396,0.015114775427134308,0.014514782387217373,0.004095947098638142,False,176,17115.583035633,0.10180842568014899,0.02918867850196647,0.02443406159416598
QQQ,2020,2020-11-10,2020-11-11,0.006136690106245957,0.02118037753100744,0.028249342140930334,0.018959312509937765,0.020899984282752117,0.025224032556287457,1.0134159549816848,0.02401844263366391,0.014753701495343163,0.013040628613246286,False,266,28453.360749082734,0.054595094308791225,0.02129594003693224,0.020225726131209352
