symbol,year,date,next_date,gap,abs_gap,gap_atr20,gap_up,day_abs_oc,day_range,rv5,rv20,median20_range,atr20,range20_ratio,adv20_dollar,log_adv20_dollar,prior_cc_aligned,prior_oc_aligned,signed_gex_to_adv,gross_gex_to_adv,followthrough_oc,continued,mfe,mae,excursion_efficiency,rth_range,eligible_contracts,call_dgamma,put_dgamma,signed_dgex,gross_dgex
IWM,2008,2008-01-17,2008-01-18,0.003977607542722694,0.003977607542722694,0.15773493301957173,1.0,0.02945381755790677,0.03460108664569613,0.014224410548157063,0.01633189837859349,0.02295179928428661,0.02521703636967439,1.5075544281787494,7329288425.25,22.715144271086306,-0.02429207991950555,-0.02945381755790677,-0.1998593910379076,0.3570833509102953,-0.013646368305209156,0.0,0.009684519442406447,0.0272927366104182,0.2619047619047617,0.03697725605282459,461,576169874.6323308,2040996996.0439806,-1464827121.4116497,2617166870.6763115
SPY,2008,2008-01-17,2008-01-18,0.009817972485391735,0.009817972485391735,0.5508598274178366,1.0,0.031782926228618114,0.035919106536813204,0.013425591782985882,0.011398069531962133,0.014190830871799537,0.017822995972339502,2.531148941264093,29937459209.28059,24.122376349587366,-0.025916214802634396,-0.031782926228618114,-0.07195645152578511,0.11708851824717317,-0.019890210038213896,0.0,0.0020780687962718147,0.027014983411942084,0.07142835276956983,0.029093052208213833,1056,675569703.2510426,2829763035.6488104,-2154193332.397768,3505332738.8998528
IWM,2008,2008-01-18,2008-01-22,-0.04195180005950605,0.04195180005950605,1.5889965029341275,0.0,0.013646368305209156,0.03697725605282459,0.013208850873207702,0.01614941596535662,0.024125470437182123,0.026401442660220365,1.532706114440584,7447895624.3,22.73119736289978,0.009723040659988191,0.013646368305209156,-0.0890828022315222,0.17391422289503067,-0.03633540372670785,0.0,0.003260869565217539,0.05791925465838488,0.05329949238578927,0.061180124223602445,465,315907783.3814486,979387196.3219851,-663479412.9405365,1295294979.7034338
SPY,2008,2008-01-18,2008-01-22,-0.03672572371233873,0.03672572371233873,1.9720019406141063,0.0,0.019890210038213896,0.029093052208213833,0.01332854629362684,0.011421222960061268,0.016335177696260604,0.01862357381905105,1.7810061665183918,30788108652.39515,24.150394369662376,0.010267519087706067,0.019890210038213896,-0.09188723781518998,0.14979223127219218,-0.027592186365790417,0.0,0.009511823044664913,0.04103446302204583,0.1881804536956732,0.05054628606671081,1064,891392615.0352068,3720426876.657748,-2829034261.6225414,4611819491.692955
IWM,2008,2008-01-22,2008-01-23,-0.019778243931675044,0.019778243931675044,0.7092972816999383,0.0,0.03633540372670785,0.061180124223602445,0.009586388241532748,0.015316511223042603,0.024125470437182123,0.027884279894987735,2.535914248093242,7483069271.8,22.735908875224823,0.007140731925022403,-0.03633540372670785,-0.15607344401836448,0.22530778733455817,-0.055029043106083586,0.0,0.005044328951390953,0.06970345460103955,0.06748466257668628,0.07474778355243046,483,259042693.51133025,1426951086.5891511,-1167908393.0778208,1685993780.1004815
SPY,2008,2008-01-22,2008-01-23,-0.02776931588303766,0.02776931588303766,1.3557745306736688,0.0,0.027592186365790417,0.05054628606671081,0.007973849225366758,0.011161015916966707,0.01912490144387361,0.020482252214340836,2.6429566821586206,32060572653.169262,24.190892845888733,0.010146880359637844,-0.027592186365790417,-0.08166898607512856,0.11750426477264614,-0.053269377709320276,0.0,0.0019671099840148365,0.055865970756659555,0.03401357767599185,0.057833080740674454,1174,574449778.114166,3192804239.6864934,-2618354461.5723276,3767254017.800659
IWM,2008,2008-01-23,2008-01-24,0.005505650536076656,0.005505650536076656,0.18109195433540082,1.0,0.055029043106083586,0.07474778355243046,0.021761651063906713,0.016621140422618638,0.02486626056239669,0.030402513221982397,3.0059921299733228,7787077929.3,22.77573152110644,0.03416242133652991,0.055029043106083586,-0.13434175034027662,0.30660105220343964,-0.006195965417867488,0.0,0.011959654178674395,0.016138328530259427,0.4256410256410256,0.028097982708933756,498,670698303.8276317,1716827982.8859305,-1046129679.0582988,2387526286.713562
SPY,2008,2008-01-23,2008-01-24,0.004631667379114912,0.004631667379114912,0.203662846502605,1.0,0.053269377709320276,0.057833080740674454,0.01830278885416607,0.01261119401713929,0.020637521101929214,0.022741837594102712,2.802326910050654,34404832242.643814,24.26146286363035,0.024020807649779652,0.053269377709320276,-0.06223654387473746,0.12883602933941446,0.0037924525220836003,1.0,0.007287410984158527,0.008700163851878662,0.4558171616956036,0.0159875748360372,1253,1145672062.429304,3286909913.8015876,-2141237851.3722837,4432581976.230891
IWM,2008,2008-01-24,2008-01-25,0.01565898216615924,0.01565898216615924,0.49957815451191945,1.0,0.006195965417867488,0.028097982708933756,0.02174462851418077,0.0163715055510922,0.02629795022878539,0.031344409327621295,1.068447634301858,8060886269.85,22.810289346458358,-0.0007244277021153378,-0.006195965417867488,-0.14219333787892213,0.3355416132508674,-0.022555317630264082,0.0,0.002426837972876461,0.028122769450392604,0.07943925233644684,0.030549607423269103,511,779279229.1224453,1925483554.0947907,-1146204324.9723454,2704762783.217236
SPY,2008,2008-01-24,2008-01-25,0.011260018843617381,0.011260018843617381,0.4876738404511549,1.0,0.0037924525220836003,0.0159875748360372,0.019299142543553974,0.012665700403253714,0.020637521101929214,0.023089241024699125,0.7746848450002392,35819105271.00141,24.301747254791337,0.008441685279831912,0.0037924525220836003,-0.04218732701592655,0.1341523515800486,-0.025419398777356883,0.0,0.0018313677324506283,0.02864251075534796,0.060096312754672435,0.03047387848779861,1283,1647052448.0562592,3158164755.541894,-1511112307.4856348,4805217203.598153
