ticker,month,month_end_date,split_adjusted_close,source
MSFT,2017-05,2017-05-31,69.84000000,dtwParallel@3250811
NVDA,2017-05,2017-05-31,3.60875000,dtwParallel@3250811
QQQ,2017-05,2017-05-31,141.28999329,CQF-Jan25-Exam3@19e6aa3
SPY,2017-05,2017-05-31,241.44000000,BlackSwanImpactPredictor@1f0effd
TSLA,2017-05,2017-05-31,4.54680000,dtwParallel@3250811
AAPL,2017-06,2017-06-30,36.00500000,dtwParallel@3250811
AMZN,2017-06,2017-06-30,48.40000000,dtwParallel@3250811
GOOGL,2017-06,2017-06-30,46.48400000,dtwParallel@3250811
META,2017-06,2017-06-30,150.98000000,dtwParallel@3250811
MSFT,2017-06,2017-06-30,68.93000000,dtwParallel@3250811
NVDA,2017-06,2017-06-30,3.61400000,dtwParallel@3250811
QQQ,2017-06,2017-06-30,137.63999939,CQF-Jan25-Exam3@19e6aa3
SPY,2017-06,2017-06-30,241.80000000,BlackSwanImpactPredictor@1f0effd
TSLA,2017-06,2017-06-30,4.82146667,dtwParallel@3250811
AAPL,2017-07,2017-07-31,37.18250000,dtwParallel@3250811
AMZN,2017-07,2017-07-31,49.38900000,dtwParallel@3250811
GOOGL,2017-07,2017-07-31,47.27500000,dtwParallel@3250811
META,2017-07,2017-07-31,169.25000000,dtwParallel@3250811
MSFT,2017-07,2017-07-31,72.70000000,dtwParallel@3250811
NVDA,2017-07,2017-07-31,4.06275000,dtwParallel@3250811
QQQ,2017-07,2017-07-31,143.22999573,CQF-Jan25-Exam3@19e6aa3
SPY,2017-07,2017-07-31,246.77000000,BlackSwanImpactPredictor@1f0effd
TSLA,2017-07,2017-07-31,4.31293333,dtwParallel@3250811
AAPL,2017-08,2017-08-31,41.00000000,dtwParallel@3250811
AMZN,2017-08,2017-08-31,49.03000000,dtwParallel@3250811
GOOGL,2017-08,2017-08-31,47.76200000,dtwParallel@3250811
META,2017-08,2017-08-31,171.97000000,dtwParallel@3250811
MSFT,2017-08,2017-08-31,74.77000000,dtwParallel@3250811
NVDA,2017-08,2017-08-31,4.23600000,dtwParallel@3250811
QQQ,2017-08,2017-08-31,146.19999695,CQF-Jan25-Exam3@19e6aa3
SPY,2017-08,2017-08-31,247.49000000,BlackSwanImpactPredictor@1f0effd
TSLA,2017-08,2017-08-31,4.74533333,dtwParallel@3250811
AAPL,2017-09,2017-09-29,38.53000000,dtwParallel@3250811
AMZN,2017-09,2017-09-29,48.06750000,dtwParallel@3250811
GOOGL,2017-09,2017-09-29,48.68600000,dtwParallel@3250811
META,2017-09,2017-09-29,170.87000000,dtwParallel@3250811
MSFT,2017-09,2017-09-29,74.49000000,dtwParallel@3250811
NVDA,2017-09,2017-09-29,4.46925000,dtwParallel@3250811
QQQ,2017-09,2017-09-29,145.44999695,CQF-Jan25-Exam3@19e6aa3
SPY,2017-09,2017-09-29,251.23000000,BlackSwanImpactPredictor@1f0effd
TSLA,2017-09,2017-09-29,4.54800000,dtwParallel@3250811
AAPL,2017-10,2017-10-31,42.26000000,dtwParallel@3250811
AMZN,2017-10,2017-10-31,55.26400000,dtwParallel@3250811
GOOGL,2017-10,2017-10-31,51.65200000,dtwParallel@3250811
META,2017-10,2017-10-31,180.06000000,dtwParallel@3250811
MSFT,2017-10,2017-10-31,83.18000000,dtwParallel@3250811
NVDA,2017-10,2017-10-31,5.17025000,dtwParallel@3250811
QQQ,2017-10,2017-10-31,152.14999390,CQF-Jan25-Exam3@19e6aa3
SPY,2017-10,2017-10-31,257.15000000,BlackSwanImpactPredictor@1f0effd
TSLA,2017-10,2017-10-31,4.42040000,dtwParallel@3250811
AAPL,2017-11,2017-11-30,42.96250000,dtwParallel@3250811
AMZN,2017-11,2017-11-30,58.83750000,dtwParallel@3250811
GOOGL,2017-11,2017-11-30,51.80850000,dtwParallel@3250811
META,2017-11,2017-11-30,177.18000000,dtwParallel@3250811
MSFT,2017-11,2017-11-30,84.17000000,dtwParallel@3250811
NVDA,2017-11,2017-11-30,5.01775000,dtwParallel@3250811
QQQ,2017-11,2017-11-30,155.14999390,CQF-Jan25-Exam3@19e6aa3
SPY,2017-11,2017-11-30,265.01000000,BlackSwanImpactPredictor@1f0effd
TSLA,2017-11,2017-11-30,4.11800000,dtwParallel@3250811
AAPL,2017-12,2017-12-29,42.30750000,dtwParallel@3250811
AMZN,2017-12,2017-12-29,58.47350000,dtwParallel@3250811
GOOGL,2017-12,2017-12-29,52.67000000,dtwParallel@3250811
META,2017-12,2017-12-29,176.46000000,dtwParallel@3250811
MSFT,2017-12,2017-12-29,85.54000000,dtwParallel@3250811
NVDA,2017-12,2017-12-29,4.83750000,dtwParallel@3250811
QQQ,2017-12,2017-12-29,155.75999451,CQF-Jan25-Exam3@19e6aa3
SPY,2017-12,2017-12-29,266.86000000,BlackSwanImpactPredictor@1f0effd
TSLA,2017-12,2017-12-29,4.15133333,dtwParallel@3250811
AAPL,2018-01,2018-01-31,41.85750000,dtwParallel@3250811
AMZN,2018-01,2018-01-31,72.54450000,dtwParallel@3250811
GOOGL,2018-01,2018-01-31,59.11100000,dtwParallel@3250811
META,2018-01,2018-01-31,186.89000000,dtwParallel@3250811
MSFT,2018-01,2018-01-31,95.01000000,dtwParallel@3250811
NVDA,2018-01,2018-01-31,6.14500000,dtwParallel@3250811
QQQ,2018-01,2018-01-31,169.39999390,CQF-Jan25-Exam3@19e6aa3
SPY,2018-01,2018-01-31,281.90000000,BlackSwanImpactPredictor@1f0effd
TSLA,2018-01,2018-01-31,4.72413333,dtwParallel@3250811
AAPL,2018-02,2018-02-28,44.53000000,dtwParallel@3250811
AMZN,2018-02,2018-02-28,75.62250000,dtwParallel@3250811
GOOGL,2018-02,2018-02-28,55.19600000,dtwParallel@3250811
META,2018-02,2018-02-28,178.32000000,dtwParallel@3250811
MSFT,2018-02,2018-02-28,93.77000000,dtwParallel@3250811
NVDA,2018-02,2018-02-28,6.05000000,dtwParallel@3250811
QQQ,2018-02,2018-02-28,167.21000671,CQF-Jan25-Exam3@19e6aa3
SPY,2018-02,2018-02-28,271.65000000,BlackSwanImpactPredictor@1f0effd
TSLA,2018-02,2018-02-28,4.57413333,dtwParallel@3250811
AAPL,2018-03,2018-03-29,41.94500000,dtwParallel@3250811
AMZN,2018-03,2018-03-29,72.36700000,dtwParallel@3250811
GOOGL,2018-03,2018-03-29,51.85700000,dtwParallel@3250811
META,2018-03,2018-03-29,159.79000000,dtwParallel@3250811
MSFT,2018-03,2018-03-29,91.27000000,dtwParallel@3250811
NVDA,2018-03,2018-03-29,5.78975000,dtwParallel@3250811
QQQ,2018-03,2018-03-29,160.13000488,CQF-Jan25-Exam3@19e6aa3
SPY,2018-03,2018-03-29,263.15000000,BlackSwanImpactPredictor@1f0effd
TSLA,2018-03,2018-03-29,3.54840000,dtwParallel@3250811
AAPL,2018-04,2018-04-30,41.31500000,dtwParallel@3250811
AMZN,2018-04,2018-04-30,78.30650000,dtwParallel@3250811
GOOGL,2018-04,2018-04-30,50.92900000,dtwParallel@3250811
META,2018-04,2018-04-30,172.00000000,dtwParallel@3250811
MSFT,2018-04,2018-04-30,93.52000000,dtwParallel@3250811
NVDA,2018-04,2018-04-30,5.62250000,dtwParallel@3250811
QQQ,2018-04,2018-04-30,160.94000244,CQF-Jan25-Exam3@19e6aa3
SPY,2018-04,2018-04-30,264.51000000,BlackSwanImpactPredictor@1f0effd
TSLA,2018-04,2018-04-30,3.91866667,dtwParallel@3250811
AAPL,2018-05,2018-05-31,46.71750000,dtwParallel@3250811
AMZN,2018-05,2018-05-31,81.48100000,dtwParallel@3250811
GOOGL,2018-05,2018-05-31,55.00000000,dtwParallel@3250811
META,2018-05,2018-05-31,191.78000000,dtwParallel@3250811
MSFT,2018-05,2018-05-31,98.84000000,dtwParallel@3250811
NVDA,2018-05,2018-05-31,6.30475000,dtwParallel@3250811
QQQ,2018-05,2018-05-31,170.07000732,CQF-Jan25-Exam3@19e6aa3
SPY,2018-05,2018-05-31,270.94000000,BlackSwanImpactPredictor@1f0effd
TSLA,2018-05,2018-05-31,3.79640000,dtwParallel@3250811
AAPL,2018-06,2018-06-29,46.27750000,dtwParallel@3250811
AMZN,2018-06,2018-06-29,84.99000000,dtwParallel@3250811
GOOGL,2018-06,2018-06-29,56.45949500,dtwParallel@3250811
META,2018-06,2018-06-29,194.32000000,dtwParallel@3250811
MSFT,2018-06,2018-06-29,98.61000000,dtwParallel@3250811
NVDA,2018-06,2018-06-29,5.92250000,dtwParallel@3250811
QQQ,2018-06,2018-06-29,171.64999390,CQF-Jan25-Exam3@19e6aa3
SPY,2018-06,2018-06-29,271.28000000,BlackSwanImpactPredictor@1f0effd
TSLA,2018-06,2018-06-29,4.57266667,dtwParallel@3250811
AAPL,2018-07,2018-07-31,47.57250000,dtwParallel@3250811
AMZN,2018-07,2018-07-31,88.87200000,dtwParallel@3250811
GOOGL,2018-07,2018-07-31,61.36100000,dtwParallel@3250811
META,2018-07,2018-07-31,172.58000000,dtwParallel@3250811
MSFT,2018-07,2018-07-31,106.08000000,dtwParallel@3250811
NVDA,2018-07,2018-07-31,6.12150000,dtwParallel@3250811
QQQ,2018-07,2018-07-31,176.44999695,CQF-Jan25-Exam3@19e6aa3
SPY,2018-07,2018-07-31,281.33000000,BlackSwanImpactPredictor@1f0effd
TSLA,2018-07,2018-07-31,3.97520000,dtwParallel@3250811
AAPL,2018-08,2018-08-31,56.90750000,dtwParallel@3250811
AMZN,2018-08,2018-08-31,100.63550000,dtwParallel@3250811
GOOGL,2018-08,2018-08-31,61.59000000,dtwParallel@3250811
META,2018-08,2018-08-31,175.73000000,dtwParallel@3250811
MSFT,2018-08,2018-08-31,112.33000000,dtwParallel@3250811
NVDA,2018-08,2018-08-31,7.01700000,dtwParallel@3250811
QQQ,2018-08,2018-08-31,186.64999390,CQF-Jan25-Exam3@19e6aa3
SPY,2018-08,2018-08-31,290.31000000,BlackSwanImpactPredictor@1f0effd
TSLA,2018-08,2018-08-31,4.02213333,dtwParallel@3250811
AAPL,2018-09,2018-09-28,56.43500000,dtwParallel@3250811
AMZN,2018-09,2018-09-28,100.15000000,dtwParallel@3250811
GOOGL,2018-09,2018-09-28,60.35400000,dtwParallel@3250811
META,2018-09,2018-09-28,164.46000000,dtwParallel@3250811
MSFT,2018-09,2018-09-28,114.37000000,dtwParallel@3250811
NVDA,2018-09,2018-09-28,7.02550000,dtwParallel@3250811
QQQ,2018-09,2018-09-28,185.78999329,CQF-Jan25-Exam3@19e6aa3
SPY,2018-09,2018-09-28,290.72000000,BlackSwanImpactPredictor@1f0effd
TSLA,2018-09,2018-09-28,3.53026667,dtwParallel@3250811
AAPL,2018-10,2018-10-31,54.71500000,dtwParallel@3250811
AMZN,2018-10,2018-10-31,79.90050000,dtwParallel@3250811
GOOGL,2018-10,2018-10-31,54.52900000,dtwParallel@3250811
META,2018-10,2018-10-31,151.79000000,dtwParallel@3250811
MSFT,2018-10,2018-10-31,106.81000000,dtwParallel@3250811
NVDA,2018-10,2018-10-31,5.27075000,dtwParallel@3250811
QQQ,2018-10,2018-10-31,169.82000732,CQF-Jan25-Exam3@19e6aa3
SPY,2018-10,2018-10-31,270.63000000,BlackSwanImpactPredictor@1f0effd
TSLA,2018-10,2018-10-31,4.49760000,dtwParallel@3250811
AAPL,2018-11,2018-11-30,44.64500000,dtwParallel@3250811
AMZN,2018-11,2018-11-30,84.50850000,dtwParallel@3250811
GOOGL,2018-11,2018-11-30,55.48250000,dtwParallel@3250811
META,2018-11,2018-11-30,140.61000000,dtwParallel@3250811
MSFT,2018-11,2018-11-30,110.89000000,dtwParallel@3250811
NVDA,2018-11,2018-11-30,4.08575000,dtwParallel@3250811
QQQ,2018-11,2018-11-30,169.36999512,CQF-Jan25-Exam3@19e6aa3
SPY,2018-11,2018-11-30,275.65000000,BlackSwanImpactPredictor@1f0effd
TSLA,2018-11,2018-11-30,4.67306667,dtwParallel@3250811
AAPL,2018-12,2018-12-31,39.43500000,dtwParallel@3250811
AMZN,2018-12,2018-12-31,75.09850000,dtwParallel@3250811
GOOGL,2018-12,2018-12-31,52.24800000,dtwParallel@3250811
META,2018-12,2018-12-31,131.09000000,dtwParallel@3250811
MSFT,2018-12,2018-12-31,101.57000000,dtwParallel@3250811
NVDA,2018-12,2018-12-31,3.33750000,dtwParallel@3250811
QQQ,2018-12,2018-12-31,154.25999451,CQF-Jan25-Exam3@19e6aa3
SPY,2018-12,2018-12-31,249.92000000,BlackSwanImpactPredictor@1f0effd
TSLA,2018-12,2018-12-31,4.43733333,dtwParallel@3250811
AAPL,2019-01,2019-01-31,41.61000000,dtwParallel@3250811
AMZN,2019-01,2019-01-31,85.93650000,dtwParallel@3250811
GOOGL,2019-01,2019-01-31,56.29450000,dtwParallel@3250811
META,2019-01,2019-01-31,166.69000000,dtwParallel@3250811
MSFT,2019-01,2019-01-31,104.43000000,dtwParallel@3250811
NVDA,2019-01,2019-01-31,3.59375000,dtwParallel@3250811
QQQ,2019-01,2019-01-31,168.16000366,CQF-Jan25-Exam3@19e6aa3
SPY,2019-01,2019-01-31,269.93000000,BlackSwanImpactPredictor@1f0effd
TSLA,2019-01,2019-01-31,4.09360000,dtwParallel@3250811
AAPL,2019-02,2019-02-28,43.28750000,dtwParallel@3250811
AMZN,2019-02,2019-02-28,81.99150000,dtwParallel@3250811
GOOGL,2019-02,2019-02-28,56.32750000,dtwParallel@3250811
META,2019-02,2019-02-28,161.45000000,dtwParallel@3250811
MSFT,2019-02,2019-02-28,112.03000000,dtwParallel@3250811
NVDA,2019-02,2019-02-28,3.85650000,dtwParallel@3250811
QQQ,2019-02,2019-02-28,173.19000244,CQF-Jan25-Exam3@19e6aa3
SPY,2019-02,2019-02-28,278.68000000,BlackSwanImpactPredictor@1f0effd
TSLA,2019-02,2019-02-28,4.26506667,dtwParallel@3250811
AAPL,2019-03,2019-03-29,47.48750000,dtwParallel@3250811
AMZN,2019-03,2019-03-29,89.03750000,dtwParallel@3250811
GOOGL,2019-03,2019-03-29,58.84450000,dtwParallel@3250811
META,2019-03,2019-03-29,166.69000000,dtwParallel@3250811
MSFT,2019-03,2019-03-29,117.94000000,dtwParallel@3250811
NVDA,2019-03,2019-03-29,4.48900000,dtwParallel@3250811
QQQ,2019-03,2019-03-29,179.66000366,CQF-Jan25-Exam3@19e6aa3
SPY,2019-03,2019-03-29,282.48000000,BlackSwanImpactPredictor@1f0effd
TSLA,2019-03,2019-03-29,3.73146667,dtwParallel@3250811
AAPL,2019-04,2019-04-30,50.16750000,dtwParallel@3250811
AMZN,2019-04,2019-04-30,96.32600000,dtwParallel@3250811
GOOGL,2019-04,2019-04-30,59.94800000,dtwParallel@3250811
META,2019-04,2019-04-30,193.40000000,dtwParallel@3250811
MSFT,2019-04,2019-04-30,130.60000000,dtwParallel@3250811
NVDA,2019-04,2019-04-30,4.52500000,dtwParallel@3250811
QQQ,2019-04,2019-04-30,189.53999329,CQF-Jan25-Exam3@19e6aa3
SPY,2019-04,2019-04-30,294.02000000,BlackSwanImpactPredictor@1f0effd
TSLA,2019-04,2019-04-30,3.18253333,dtwParallel@3250811
AAPL,2019-05,2019-05-31,43.76750000,dtwParallel@3250811
AMZN,2019-05,2019-05-31,88.75350000,dtwParallel@3250811
GOOGL,2019-05,2019-05-31,55.32500000,dtwParallel@3250811
META,2019-05,2019-05-31,177.47000000,dtwParallel@3250811
MSFT,2019-05,2019-05-31,123.68000000,dtwParallel@3250811
NVDA,2019-05,2019-05-31,3.38650000,dtwParallel@3250811
QQQ,2019-05,2019-05-31,173.94999695,CQF-Jan25-Exam3@19e6aa3
SPY,2019-05,2019-05-31,275.27000000,BlackSwanImpactPredictor@1f0effd
TSLA,2019-05,2019-05-31,2.46880000,dtwParallel@3250811
AAPL,2019-06,2019-06-28,49.48000000,dtwParallel@3250811
AMZN,2019-06,2019-06-28,94.68150000,dtwParallel@3250811
GOOGL,2019-06,2019-06-28,54.14000000,dtwParallel@3250811
META,2019-06,2019-06-28,193.00000000,dtwParallel@3250811
MSFT,2019-06,2019-06-28,133.96000000,dtwParallel@3250811
NVDA,2019-06,2019-06-28,4.10575000,dtwParallel@3250811
QQQ,2019-06,2019-06-28,186.74000549,CQF-Jan25-Exam3@19e6aa3
SPY,2019-06,2019-06-28,293.00000000,BlackSwanImpactPredictor@1f0effd
TSLA,2019-06,2019-06-28,2.97946667,dtwParallel@3250811
AAPL,2019-07,2019-07-31,53.26000000,dtwParallel@3250811
AMZN,2019-07,2019-07-31,93.33900000,dtwParallel@3250811
GOOGL,2019-07,2019-07-31,60.91000000,dtwParallel@3250811
META,2019-07,2019-07-31,194.23000000,dtwParallel@3250811
MSFT,2019-07,2019-07-31,136.27000000,dtwParallel@3250811
NVDA,2019-07,2019-07-31,4.21800000,dtwParallel@3250811
QQQ,2019-07,2019-07-31,191.10000610,CQF-Jan25-Exam3@19e6aa3
SPY,2019-07,2019-07-31,297.43000000,BlackSwanImpactPredictor@1f0effd
TSLA,2019-07,2019-07-31,3.22146667,dtwParallel@3250811
AAPL,2019-08,2019-08-30,52.18500000,dtwParallel@3250811
AMZN,2019-08,2019-08-30,88.81450000,dtwParallel@3250811
GOOGL,2019-08,2019-08-30,59.52650000,dtwParallel@3250811
META,2019-08,2019-08-30,185.67000000,dtwParallel@3250811
MSFT,2019-08,2019-08-30,137.86000000,dtwParallel@3250811
NVDA,2019-08,2019-08-30,4.18775000,dtwParallel@3250811
QQQ,2019-08,2019-08-30,187.47000122,CQF-Jan25-Exam3@19e6aa3
SPY,2019-08,2019-08-30,292.45000000,BlackSwanImpactPredictor@1f0effd
TSLA,2019-08,2019-08-30,3.00813333,dtwParallel@3250811
AAPL,2019-09,2019-09-30,55.99250000,dtwParallel@3250811
AMZN,2019-09,2019-09-30,86.79550000,dtwParallel@3250811
GOOGL,2019-09,2019-09-30,61.05700000,dtwParallel@3250811
META,2019-09,2019-09-30,178.08000000,dtwParallel@3250811
MSFT,2019-09,2019-09-30,139.03000000,dtwParallel@3250811
NVDA,2019-09,2019-09-30,4.35175000,dtwParallel@3250811
QQQ,2019-09,2019-09-30,188.80999756,CQF-Jan25-Exam3@19e6aa3
SPY,2019-09,2019-09-30,296.77000000,BlackSwanImpactPredictor@1f0effd
TSLA,2019-09,2019-09-30,3.21160000,dtwParallel@3250811
AAPL,2019-10,2019-10-31,62.19000000,dtwParallel@3250811
AMZN,2019-10,2019-10-31,88.83300000,dtwParallel@3250811
GOOGL,2019-10,2019-10-31,62.94000000,dtwParallel@3250811
META,2019-10,2019-10-31,191.65000000,dtwParallel@3250811
MSFT,2019-10,2019-10-31,143.37000000,dtwParallel@3250811
NVDA,2019-10,2019-10-31,5.02550000,dtwParallel@3250811
QQQ,2019-10,2019-10-31,197.08000183,CQF-Jan25-Exam3@19e6aa3
SPY,2019-10,2019-10-31,303.33000000,BlackSwanImpactPredictor@1f0effd
TSLA,2019-10,2019-10-31,4.19893333,dtwParallel@3250811
AAPL,2019-11,2019-11-29,66.81250000,dtwParallel@3250811
AMZN,2019-11,2019-11-29,90.04000000,dtwParallel@3250811
GOOGL,2019-11,2019-11-29,65.20450000,dtwParallel@3250811
META,2019-11,2019-11-29,201.64000000,dtwParallel@3250811
MSFT,2019-11,2019-11-29,151.38000000,dtwParallel@3250811
NVDA,2019-11,2019-11-29,5.41850000,dtwParallel@3250811
QQQ,2019-11,2019-11-29,205.10000610,CQF-Jan25-Exam3@19e6aa3
SPY,2019-11,2019-11-29,314.31000000,BlackSwanImpactPredictor@1f0effd
TSLA,2019-11,2019-11-29,4.39920000,dtwParallel@3250811
AAPL,2019-12,2019-12-31,73.41250000,dtwParallel@3250811
AMZN,2019-12,2019-12-31,92.39200000,dtwParallel@3250811
GOOGL,2019-12,2019-12-31,66.96950000,dtwParallel@3250811
META,2019-12,2019-12-31,205.25000000,dtwParallel@3250811
MSFT,2019-12,2019-12-31,157.70000000,dtwParallel@3250811
NVDA,2019-12,2019-12-31,5.88250000,dtwParallel@3250811
QQQ,2019-12,2019-12-31,212.61000061,CQF-Jan25-Exam3@19e6aa3
SPY,2019-12,2019-12-31,321.86000000,BlackSwanImpactPredictor@1f0effd
TSLA,2019-12,2019-12-31,5.57773333,dtwParallel@3250811
AAPL,2020-01,2020-01-31,77.37750000,dtwParallel@3250811
AMZN,2020-01,2020-01-31,100.43600000,dtwParallel@3250811
GOOGL,2020-01,2020-01-31,71.63900000,dtwParallel@3250811
META,2020-01,2020-01-31,201.91000000,dtwParallel@3250811
MSFT,2020-01,2020-01-31,170.23000000,dtwParallel@3250811
NVDA,2020-01,2020-01-31,5.91075000,dtwParallel@3250811
QQQ,2020-01,2020-01-31,219.07000732,CQF-Jan25-Exam3@19e6aa3
SPY,2020-01,2020-01-31,321.73000000,BlackSwanImpactPredictor@1f0effd
TSLA,2020-01,2020-01-31,8.67426667,dtwParallel@3250811
AAPL,2020-02,2020-02-28,68.34000000,dtwParallel@3250811
AMZN,2020-02,2020-02-28,94.18750000,dtwParallel@3250811
GOOGL,2020-02,2020-02-28,66.96250000,dtwParallel@3250811
META,2020-02,2020-02-28,192.47000000,dtwParallel@3250811
MSFT,2020-02,2020-02-28,162.01000000,dtwParallel@3250811
NVDA,2020-02,2020-02-28,6.75175000,dtwParallel@3250811
QQQ,2020-02,2020-02-28,205.80000305,CQF-Jan25-Exam3@19e6aa3
SPY,2020-02,2020-02-28,296.26000000,BlackSwanImpactPredictor@1f0effd
TSLA,2020-02,2020-02-28,8.90653333,dtwParallel@3250811
AAPL,2020-03,2020-03-31,63.57250000,dtwParallel@3250811
AMZN,2020-03,2020-03-31,97.48600000,dtwParallel@3250811
GOOGL,2020-03,2020-03-31,58.09750000,dtwParallel@3250811
META,2020-03,2020-03-31,166.80000000,dtwParallel@3250811
MSFT,2020-03,2020-03-31,157.71000000,dtwParallel@3250811
NVDA,2020-03,2020-03-31,6.59000000,dtwParallel@3250811
QQQ,2020-03,2020-03-31,190.39999390,CQF-Jan25-Exam3@19e6aa3
SPY,2020-03,2020-03-31,257.75000000,BlackSwanImpactPredictor@1f0effd
TSLA,2020-03,2020-03-31,6.98666667,dtwParallel@3250811
AAPL,2020-04,2020-04-30,73.45000000,dtwParallel@3250811
AMZN,2020-04,2020-04-30,123.70000000,dtwParallel@3250811
GOOGL,2020-04,2020-04-30,67.33500000,dtwParallel@3250811
META,2020-04,2020-04-30,204.71000000,dtwParallel@3250811
MSFT,2020-04,2020-04-30,179.21000000,dtwParallel@3250811
NVDA,2020-04,2020-04-30,7.30700000,dtwParallel@3250811
QQQ,2020-04,2020-04-30,218.91000366,CQF-Jan25-Exam3@19e6aa3
SPY,2020-04,2020-04-30,290.48000000,BlackSwanImpactPredictor@1f0effd
TSLA,2020-04,2020-04-30,10.42506667,dtwParallel@3250811
AAPL,2020-05,2020-05-29,79.48500000,dtwParallel@3250811
AMZN,2020-05,2020-05-29,122.11850000,dtwParallel@3250811
GOOGL,2020-05,2020-05-29,71.67600000,dtwParallel@3250811
META,2020-05,2020-05-29,225.09000000,dtwParallel@3250811
MSFT,2020-05,2020-05-29,183.25000000,dtwParallel@3250811
NVDA,2020-05,2020-05-29,8.87550000,dtwParallel@3250811
QQQ,2020-05,2020-05-29,233.36000061,CQF-Jan25-Exam3@19e6aa3
SPY,2020-05,2020-05-29,304.32000000,BlackSwanImpactPredictor@1f0effd
TSLA,2020-05,2020-05-29,11.13333333,dtwParallel@3250811
AAPL,2020-06,2020-06-30,91.20000000,dtwParallel@3250811
AMZN,2020-06,2020-06-30,137.94100000,dtwParallel@3250811
GOOGL,2020-06,2020-06-30,70.90250000,dtwParallel@3250811
META,2020-06,2020-06-30,227.07000000,dtwParallel@3250811
MSFT,2020-06,2020-06-30,203.51000000,dtwParallel@3250811
NVDA,2020-06,2020-06-30,9.49775000,dtwParallel@3250811
QQQ,2020-06,2020-06-30,247.60000610,CQF-Jan25-Exam3@19e6aa3
SPY,2020-06,2020-06-30,308.36000000,BlackSwanImpactPredictor@1f0effd
TSLA,2020-06,2020-06-30,14.39746667,dtwParallel@3250811
AAPL,2020-07,2020-07-31,106.26000000,dtwParallel@3250811
AMZN,2020-07,2020-07-31,158.23400000,dtwParallel@3250811
GOOGL,2020-07,2020-07-31,74.39750000,dtwParallel@3250811
META,2020-07,2020-07-31,253.67000000,dtwParallel@3250811
MSFT,2020-07,2020-07-31,205.01000000,dtwParallel@3250811
NVDA,2020-07,2020-07-31,10.61475000,dtwParallel@3250811
QQQ,2020-07,2020-07-31,265.79000854,CQF-Jan25-Exam3@19e6aa3
SPY,2020-07,2020-07-31,326.52000000,BlackSwanImpactPredictor@1f0effd
TSLA,2020-07,2020-07-31,19.07680000,dtwParallel@3250811
AAPL,2020-08,2020-08-31,129.04000000,dtwParallel@3250811
AMZN,2020-08,2020-08-31,172.54800000,dtwParallel@3250811
GOOGL,2020-08,2020-08-31,81.47650000,dtwParallel@3250811
